"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","Description","GeneType","EnsemblGeneID"
"6241",550.53149400062,4.20101887533745,0.42333086397474,9.92372452103591,3.28272773004572e-23,1.55546582275333e-20,"RRM2","ribonucleotide reductase regulatory subunit M2","protein-coding","ENSG00000171848"
"991",629.136059494695,3.93282199729437,0.421740195586332,9.3252244828755,1.10748903047061e-20,3.4346047042356e-18,"CDC20","cell division cycle 20","protein-coding","ENSG00000117399"
"699",190.791349816668,3.95818975771531,0.455416318826779,8.69136566715968,3.58108395526579e-18,6.83799963905864e-16,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","protein-coding","ENSG00000169679"
"6713",633.733776960569,2.43689077644802,0.293584412366972,8.30047738843157,1.03693873841222e-16,1.50750860794053e-14,"SQLE","squalene epoxidase","protein-coding","ENSG00000104549"
"9319",266.604830239801,2.84130479814475,0.348762921589953,8.14680868365164,3.73654133745375e-16,5.00559597913242e-14,"TRIP13","thyroid hormone receptor interactor 13","protein-coding","ENSG00000071539"
"9088",426.84109165577,2.9234539493319,0.359689952671032,8.12770534073175,4.37493113351678e-16,5.68222921478976e-14,"PKMYT1","protein kinase, membrane associated tyrosine/threonine 1","protein-coding","ENSG00000127564"
"23594",143.403911303286,2.95358452910223,0.363999726192267,8.11424931551219,4.88796952853843e-16,6.22231225506034e-14,"ORC6","origin recognition complex subunit 6","protein-coding","ENSG00000091651"
"8349",1945.41414443107,2.06610613136129,0.255424107573172,8.08892375505082,6.01942353459559e-16,7.54995048920086e-14,"H2BC21","H2B clustered histone 21","protein-coding","ENSG00000184678"
"5831",1667.06397334015,2.73628694092215,0.341360977194088,8.01581646330471,1.09407778634192e-15,1.30813870650144e-13,"PYCR1","pyrroline-5-carboxylate reductase 1","protein-coding","ENSG00000183010"
"6790",257.795530357759,2.94676443184246,0.368360336163691,7.99967896253898,1.24744022062984e-15,1.47088723157861e-13,"AURKA","aurora kinase A","protein-coding","ENSG00000087586"
"24137",177.760149720793,4.33160008484332,0.541943913108601,7.99270917168748,1.32005277779529e-15,1.53528138297492e-13,"KIF4A","kinesin family member 4A","protein-coding","ENSG00000090889"
"4605",804.522276941613,3.95132581395449,0.49459610444301,7.98899501726621,1.36043192978617e-15,1.56798972015489e-13,"MYBL2","MYB proto-oncogene like 2","protein-coding","ENSG00000101057"
"701",183.438642353502,3.39086033608316,0.438869821257744,7.72634656528761,1.10677056717025e-14,1.08087551535058e-12,"BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","protein-coding","ENSG00000156970"
"146909",309.292807516409,3.90231131555723,0.50917599922612,7.66397340308307,1.80267240879276e-14,1.74715829256743e-12,"KIF18B","kinesin family member 18B","protein-coding","ENSG00000186185"
"2906",170.689038953823,2.43823856987035,0.318649732998862,7.65178287432948,1.98211716119443e-14,1.90663277456699e-12,"GRIN2D","glutamate ionotropic receptor NMDA type subunit 2D","protein-coding","ENSG00000105464"
"8365",107.035496469878,3.5213552210296,0.464498432793731,7.58098407318701,3.42943701887257e-14,3.16783411559179e-12,"H4C8","H4 clustered histone 8","protein-coding","ENSG00000158406"
