"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901992","positive regulation of mitotic cell cycle phase transition","22/1387","91/18632",0.241758241758242,3.24761323751951,6.09537479076408,6.14476752617818e-07,3.02177979522645e-05,3.02177979522645e-05,"MTBP/CDK1/PLK1/DTL/CCNE1/CCNB1/CDC6/FBXO5/CDC25C/UBE2C/BIRC5/RCC2/CDC20/STIL/CCNE2/RRM2/SKA3/ESPL1/CDC7/CDC25A/SKA1/DLGAP5",22
"GO:0051255","spindle midzone assembly","8/1387","13/18632",0.615384615384615,8.26665187732239,7.43280209169351,8.48010925284197e-07,4.12973087497624e-05,4.12973087497624e-05,"CDCA8/KIF23/AURKB/BIRC5/PRC1/RACGAP1/INCENP/KIF4A",8
"GO:0022617","extracellular matrix disassembly","19/1387","73/18632",0.26027397260274,3.49634077688122,6.06055963698224,1.06351315966033e-06,5.12940577774638e-05,5.12940577774638e-05,"NOXO1/ADAM8/HPSE/TGFB2/MMP14/PLAUR/FGFR4/PLAU/MMP11/MMP9/MMP10/MMP3/CTSV/FSCN1/MMP12/MMP13/MMP8/MMP1/FAP",19
"GO:0006302","double-strand break repair","49/1387","320/18632",0.153125,2.05697548666186,5.40874776455442,1.08077660222881e-06,5.13331383917862e-05,5.13331383917861e-05,"PARP1/RAD21/PLK1/HSF2BP/MCM8/SMARCA4/MCM6/XRCC2/RAD51/CHEK1/FOXM1/RAD54B/GEN1/ZNF365/CSNK2A3/HMGA2/MMS22L/TOPBP1/FEN1/POLQ/ACTR2/RECQL4/BLM/CDCA5/PARPBP/SPIRE2/BRIP1/GINS2/HELLS/DNA2/FIGNL1/TIMELESS/RUVBL1/BRCA2/RMI1/MCM4/TRIP13/CDC7/PRKDC/RFWD3/CDC45/RAD51AP1/RMI2/UHRF1/RAD54L/GINS4/FANCB/MCM2/TONSL",49
"GO:0065004","protein-DNA complex assembly","35/1387","196/18632",0.178571428571429,2.39880523225873,5.58311596057698,1.08479120205928e-06,5.13331383917862e-05,5.13331383917861e-05,"H3C14/H2BC7/H3C8/H4C5/H3C10/SMARCA4/H4C8/RAD51/H4C14/H4C4/H3C6/H1-2/H2BC9/H3C4/H1-3/ATAD2/H3C15/SOX9/H3C2/H1-4/H2BC6/H4C9/CHAF1B/TSPYL5/TAF7L/CDT1/CDC45/MACROH2A2/H2BC4/H2BC21/ASF1B/H2BC8/H4C15/H1-5/H2BC11",35
"GO:0002385","mucosal immune response","15/1387","48/18632",0.3125,4.19790915645278,6.29132117802178,1.1585687228535e-06,5.43119692881602e-05,5.43119692881602e-05,"RNASE2/H2BC7/H2BC12L/H2BC18/H2BC26/H2BC9/H2BC12/H2BC6/H2BC17/CAMP/H2BC4/H2BC21/H2BC8/H2BC11/H2BC5",15
"GO:0071824","protein-DNA complex organization","37/1387","215/18632",0.172093023255814,2.31177880987911,5.48649655901789,1.36883473548579e-06,6.35747688258958e-05,6.35747688258958e-05,"H3C14/H2BC7/H3C8/H4C5/H3C10/SMARCA4/H4C8/RAD51/H4C14/H4C4/H3C6/H1-2/H2BC9/H3C4/H1-3/ATAD2/H2AC25/HMGA1/H3C15/SOX9/H3C2/H1-4/H2BC6/H4C9/CHAF1B/TSPYL5/TAF7L/CDT1/CDC45/MACROH2A2/H2BC4/H2BC21/ASF1B/H2BC8/H4C15/H1-5/H2BC11",37
"GO:0000281","mitotic cytokinesis","23/1387","103/18632",0.223300970873786,2.99967100888276,5.77132971355829,1.53749536524512e-06,7.07529977254083e-05,7.07529977254082e-05,"CENPA/PLK1/ECT2/CEP55/CDCA8/ANLN/KIF23/AURKB/ZNF365/BIRC5/KIF20B/IQGAP3/SPAST/CKAP2/CIT/NUSAP1/ESPL1/STMN1/RACGAP1/INCENP/RTKN/KIF20A/KIF4A",23
"GO:0061644","protein localization to CENP-A containing chromatin","9/1387","18/18632",0.5,6.71665465032444,6.88149927797581,1.79519993748241e-06,8.18611171491978e-05,8.18611171491978e-05,"CENPA/H4C5/H4C8/H4C14/H4C4/H4C9/H2AC8/H4C15/H2BC11",9
"GO:1901976","regulation of cell cycle checkpoint","16/1387","56/18632",0.285714285714286,3.83808837161397,6.03210011165705,1.95803400309539e-06,8.78199549383694e-05,8.78199549383694e-05,"CDCA8/NDC80/RAD51/CCNB1/AURKB/GEN1/BIRC5/BARD1/SKA3/ZWINT/BRCA2/MAD2L1/RFWD3/SKA1/KNL1/INCENP",16
