ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007093,mitotic cell cycle checkpoint signaling,42/1387,140/16154,0.3,3.494015862,9.08305631,2.27E-13,2.73E-11,2.73E-11,SPDL1/CDK1/BUB1/BRSK1/BIRC5/CDCA8/BUB1B/SKA1/CDC6/BARD1/KNTC1/HASPIN/MAD2L1/CHEK1/TIMELESS/NDC80/CLSPN/BLM/SPC24/DBF4/RFWD3/CCNB1/TOPBP1/TTK/NUF2/CDC7/PLK1/SKA3/ORC1/GEN1/ZWINT/DTL/KNL1/TRIP13/TICRR/CENPF/SPC25/AURKB/PRKDC/CDC20/ZWILCH/INCENP,42
GO:0006261,DNA-templated DNA replication,46/1387,166/16154,0.277108434,3.227404209,8.840456671,4.08E-13,4.78E-11,4.78E-11,PARP1/TONSL/RAD51/POLE2/TRAIP/MCM2/GINS1/CDC6/BARD1/DNA2/RFC4/FEN1/ZNF365/TIMELESS/BLM/PRIM2/DBF4/POLQ/ORC6/RFWD3/CDC45/MMS22L/TOPBP1/TK1/FBXO5/FAM111B/CDC7/EXO1/E2F7/BRCA2/MCM4/MCM10/ORC1/GEN1/WDHD1/DTL/TICRR/E2F8/RNASEH2A/MCM8/LIG1/CDT1/ATAD5/GINS4/MCM6/RFC3,46
GO:0008608,attachment of spindle microtubules to kinetochore,25/1387,55/16154,0.454545455,5.293963427,9.775948955,4.42E-13,5.07E-11,5.07E-11,CDK1/SGO1/BIRC5/CDCA8/KNSTRN/SKA1/RCC2/KNTC1/KIF2C/NDC80/SPC24/CENPE/CCNB1/NUF2/RACGAP1/SKA3/SPAG5/KNL1/SPC25/ECT2/CDT1/AURKB/NEK2/ZWILCH/INCENP,25
GO:1901991,negative regulation of mitotic cell cycle phase transition,47/1387,174/16154,0.270114943,3.145952979,8.722181666,6.31E-13,7.07E-11,7.07E-11,PKMYT1/SPDL1/CDK1/RFPL1/BUB1/BRSK1/BIRC5/CDCA8/BUB1B/SKA1/CDC6/BARD1/KNTC1/HASPIN/MAD2L1/CHEK1/NDC80/CLSPN/BLM/SPC24/INHBA/DBF4/RFWD3/CCNB1/TOPBP1/RAD21/TTK/FBXO5/NUF2/CDC7/E2F7/PLK1/SKA3/ORC1/GEN1/ZWINT/DTL/KNL1/TRIP13/TICRR/CENPF/SPC25/AURKB/PRKDC/CDC20/ZWILCH/INCENP,47
GO:0051310,metaphase chromosome alignment,35/1387,105/16154,0.333333333,3.882239846,9.080702937,7.38E-13,8.08E-11,8.08E-11,SPDL1/CENPA/KIF18A/CDK1/SGO1/BIRC5/CDCA8/KNSTRN/SKA1/RCC2/KNTC1/KIF2C/SACK1D/NDC80/SPC24/PSRC1/CENPE/CCNB1/TTK/KIF14/NUF2/RACGAP1/SKA3/SPAG5/ZWINT/KNL1/CENPF/SPC25/ECT2/CDT1/AURKB/NEK2/ZWILCH/INCENP/KIFC1,35
GO:1903046,meiotic cell cycle process,46/1387,172/16154,0.26744186,3.114820342,8.545565927,1.64E-12,1.75E-10,1.75E-10,PKMYT1/MOV10L1/RAD51/SGO1/CDC25A/STRA8/CDC25C/FBXO43/HSF2BP/SKA1/NCAPH/NDC80/FIGNL1/RAD21/MAPK15/SPIRE2/MAEL/TTK/BRIP1/FBXO5/RAD51AP1/RAD54B/NUF2/TEX11/TOP2A/NCAPD2/SKA3/SGO2/BRCA2/TDRKH/RAD1/CCNA1/MND1/ZWINT/KNL1/TRIP13/SMC4/AURKA/MEIKIN/MYBL1/ESPL1/CDC20/RAD54L/RMI1/PTTG1/INCENP,46
GO:0071459,"protein localization to chromosome, centromeric region",19/1387,34/16154,0.558823529,6.508460919,9.853848979,2.60E-12,2.73E-10,2.73E-10,SPDL1/H4C5/CENPA/CDK1/MTBP/H2BC11/RCC2/KNTC1/H2AC8/HASPIN/H4C15/TTK/H4C14/H4C4/KNL1/H4C9/H4C8/AURKB/ZWILCH,19
GO:0050000,chromosome localization,36/1387,118/16154,0.305084746,3.553236469,8.531054346,6.76E-12,6.94E-10,6.94E-10,SPDL1/CENPA/KIF18A/CDK1/SGO1/BIRC5/CDCA8/KNSTRN/SKA1/RCC2/KNTC1/KIF2C/SACK1D/NDC80/SPC24/PSRC1/CENPE/CCNB1/TTK/KIF14/NUF2/RACGAP1/SKA3/DLGAP5/SPAG5/ZWINT/KNL1/CENPF/SPC25/ECT2/CDT1/AURKB/NEK2/ZWILCH/INCENP/KIFC1,36
GO:1901990,regulation of mitotic cell cycle phase transition,66/1387,316/16154,0.208860759,2.432542688,7.881695167,7.47E-12,7.51E-10,7.51E-10,PKMYT1/SPDL1/CDK1/RFPL1/CDC25A/BUB1/CDC25C/BRSK1/MTBP/BIRC5/CDCA8/BUB1B/SKA1/CDC6/BARD1/RCC2/KNTC1/NEK6/HASPIN/ANLN/MAD2L1/CHEK1/NDC80/CLSPN/BLM/RRM2/SPC24/INHBA/CENPE/DBF4/CCNE1/RFWD3/CCNB1/TOPBP1/RAD21/CDKN2A/TTK/KIF14/FBXO5/E2F1/NUF2/CDC7/E2F7/PLK1/CCNE2/SKA3/UBE2C/ORC1/DLGAP5/GEN1/ZWINT/DTL/KNL1/SMARCA4/TRIP13/TICRR/CENPF/AURKA/SPC25/AURKB/ESPL1/PRKDC/CDC20/ZWILCH/INCENP/STIL,66
GO:2001251,negative regulation of chromosome organization,33/1387,105/16154,0.314285714,3.660397569,8.381772964,2.06E-11,2.03E-09,2.03E-09,SPDL1/PIF1/PARP1/BUB1/BIRC5/CDCA8/BUB1B/SKA1/KNTC1/HASPIN/MAD2L1/NDC80/SPC24/GNL3L/CCNB1/RAD21/TTK/FBXO5/NUF2/PLK1/SKA3/CTPS1/GEN1/ZWINT/KNL1/TRIP13/CENPF/SPC25/AURKB/ESPL1/CDC20/ZWILCH/INCENP,33
