"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","12/789","45/9184",0.266666666666667,3.10401351922265,4.33736417240696,0.000299275813818094,0.00495301471868946,0.00495301471868946,"5243/10349/340273/10060/9429/8647/10350/23460/6833/368/10351/225",12
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","12/789","49/9184",0.244897959183673,2.85062466051059,3.98182851850018,0.000697363744252867,0.010991780921319,0.010991780921319,"127/10873/5091/38/124/125/217/126/197257/5105/32/55902",12
"Metabolism","Lipid metabolism","hsa00071","Fatty acid degradation","11/789","43/9184",0.255813953488372,2.97768738762637,3.98488195522293,0.000779755173342648,0.0117317710171098,0.0117317710171098,"127/35/38/124/3033/125/217/126/51703/33/2180",11
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","9/789","31/9184",0.290322580645161,3.3793695572182,4.06800483077704,0.000868891343784941,0.0125044797736007,0.0125044797736007,"38/275/48/112817/6470/5095/847/55902/189",9
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","23/789","141/9184",0.163120567375887,1.89873167399258,3.29688487570783,0.00197576171433515,0.0262582458528288,0.0262582458528288,"596/6401/1843/2948/5602/4257/2946/6347/859/857/858/2949/10365/2353/2944/2947/652/5175/7056/4258/3725/5600/1003",23
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","10/789","41/9184",0.24390243902439,2.83903675538657,3.61791551637747,0.00198325119734356,0.0262582458528288,0.0262582458528288,"275/29958/8639/6470/314/4129/189/212/2593/4128",10
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","14/789","70/9184",0.2,2.32801013941698,3.41913573719173,0.00218301705721642,0.0268183501589217,0.0268183501589217,"8660/6258/5602/948/3952/9370/51703/5105/9021/6517/32/7133/2180/3953",14
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","18/789","101/9184",0.178217821782178,2.0744644806686,3.32857645327822,0.00218759955979119,0.0268183501589217,0.0268183501589217,"596/113026/7423/6401/5602/6347/6776/7048/2277/2152/1288/7424/7056/3725/185/5600/1958/3569",18
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","13/789","64/9184",0.203125,2.36438529784537,3.35776302396865,0.002686058248875,0.0309616021720563,0.0309616021720563,"2879/1571/5320/27306/5322/5740/11145/2053/5730/4056/8644/8398/9536",13
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","16/789","87/9184",0.183908045977011,2.14069897877424,3.27719305035601,0.00271264792443998,0.0309616021720563,0.0309616021720563,"1675/1191/7450/5104/10544/729/7448/10747/2152/7056/5648/2159/710/7035/2157/730",16
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","16/789","89/9184",0.179775280898876,2.0925933837456,3.17521151908907,0.00343974308513501,0.0379518320393229,0.0379518320393229,"7060/3680/7450/158326/3910/9899/948/63923/131873/7448/3909/1288/3679/3908/5649/7148",16
