"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003007","heart morphogenesis","32/1430","179/16154",0.17877094972067,2.0194866585928,4.27434270500749,9.40358633391401e-05,0.00212564788757312,0.00212564788757312,"TGFBR3/RBP4/TEK/BMP4/HAND2/OLFM1/APLNR/TBX2/SOX17/SLIT3/FLRT2/FOXN4/ACVRL1/SPRY1/NPY1R/ADAMTS5/NPY2R/CCM2L/MESP1/MYL2/TNNC1/ASB2/WNT11/S1PR1/TGFBR2/SLIT2/CLDN5/ACTC1/DLC1/SOX18/BMP2/NPY5R",32
"GO:0046888","negative regulation of hormone secretion","14/1430","51/16154",0.274509803921569,3.10100095982449,4.6831670909722,9.6015329412065e-05,0.00216034491177146,0.00216034491177146,"HADH/GNAZ/CRY2/DRD2/KCNB1/LEP/FFAR4/PRKN/CRHBP/NMB/INHBB/ADRA2C/ADRA2A/ABCC8",14
"GO:0030832","regulation of actin filament length","26/1430","134/16154",0.194029850746269,2.19185888738128,4.31745374482341,0.000105108832353779,0.00235405034672519,0.00235405034672519,"SPTBN1/TMOD1/LMOD1/CFL2/DMTN/CSF3/MYADM/TENM1/CCL21/BIN1/CXCL12/ARHGAP40/VILL/PLEKHH2/ASB2/GSN/LIMA1/MIR214/KANK3/SPTBN4/KANK2/CDC42EP2/SLIT2/ESAM/KANK1/CDC42EP5",26
"GO:0043500","muscle adaptation","20/1430","91/16154",0.21978021978022,2.48274802120956,4.42034768609742,0.000110331394513967,0.00245968154742147,0.00245968154742147,"CASQ1/ARRB1/ADRA1A/HAND2/CAV3/APLNR/MYOZ1/MYOC/TNFRSF1B/MIR145/KLF4/PPARG/ASB2/GSN/MIR214/KLF15/JUND/IGF1/SCN5A/NR4A3",20
"GO:0043116","negative regulation of vascular permeability","8/1430","19/16154",0.421052631578947,4.75642252484358,5.10561969976178,0.000114760494468299,0.00252369232179156,0.00252369232179156,"PDE2A/AKAP12/RAMP2/MIR23A/FERMT2/SLIT2/CLDN5/ABCC8",8
"GO:0048245","eosinophil chemotaxis","8/1430","19/16154",0.421052631578947,4.75642252484358,5.10561969976178,0.000114760494468299,0.00252369232179156,0.00252369232179156,"LGALS3/CCL19/CCL21/CCL8/CCL2/CCL16/CCL4/CCL13",8
"GO:1903054","negative regulation of extracellular matrix organization","8/1430","19/16154",0.421052631578947,4.75642252484358,5.10561969976178,0.000114760494468299,0.00252369232179156,0.00252369232179156,"TGFBR3/TIMP3/MIR27B/TNFRSF1B/MIR145/PPARG/MIR29C/CST3",8
"GO:0055074","calcium ion homeostasis","32/1430","181/16154",0.176795580110497,1.9971718888846,4.20433951310989,0.000116784720953111,0.00255663848573027,0.00255663848573027,"TRDN/CAV1/BCL2/CAV2/DMTN/CAV3/RGN/DRD2/CCL19/P2RX1/CALB2/RYR3/CXCL12/CNR1/CCL8/CCL23/SV2B/HRC/TMEM178A/CCL14/CASQ2/PTH1R/ELANE/ABCC6/PLN/CCL13/GPER1/CDH23/CDH5/ANK2/EDN3/BOK",32
"GO:0007204","positive regulation of cytosolic calcium ion concentration","27/1430","143/16154",0.188811188811189,2.13290625458458,4.24066997489219,0.000126375324071303,0.00275418867706965,0.00275418867706965,"CD36/TAC1/C1QTNF1/PTGER3/AGTR1/CAV1/ADRA1A/CCR10/CAV3/CXCR1/TACR1/FFAR4/PTGER4/CXCR2/NMB/ADCY5/CCL2/ESR1/ACKR3/AVPR1A/PTGER2/SAA1/EDNRB/ADRA1D/CYSLTR1/GPER1/ADCYAP1R1",27
"GO:1904705","regulation of vascular associated smooth muscle cell proliferation","16/1430","65/16154",0.246153846153846,2.78067778375471,4.48290157457563,0.000129917754876035,0.00281875128882827,0.00281875128882827,"BMP4/MIR27B/JUN/CNN1/FGF2/CDKN1A/ADAMTS1/PPARG/MIR214/GPER1/RGCC/MIR27A/MYOCD/ADIPOQ/IGF1/NR4A3",16
"GO:0097529","myeloid leukocyte migration","34/1430","198/16154",0.171717171717172,1.93980363071272,4.14657390879243,0.000131090804390823,0.00283156137484177,0.00283156137484177,"LGALS3/MRGPRX2/CXCR1/CCL19/PDGFD/PTGER4/DEFB124/CCL21/CXCR2/VEGFD/CXCL12/ANXA1/CCL8/IL6/CCL23/CCL2/CCL16/DUSP1/CCL4/THBS4/BST1/VEGFB/SAA1/PECAM1/EDNRB/CCL28/P2RY12/RARRES2/CCL13/VEGFC/CTSG/SLIT2/MTUS1/EDN3",34
"GO:0031589","cell-substrate adhesion","49/1430","323/16154",0.151702786377709,1.71371105674511,4.03785967806086,0.000132840473631135,0.00285665797277574,0.00285665797277574,"CD36/VWF/ITGA9/APOD/TEK/TNN/DMTN/FZD4/BCAM/MYADM/ITGA7/MYOC/CCL21/ACVRL1/SORBS3/ECM2/FBLN2/THSD1/FBLN5/SORBS1/SFRP1/ARL2/FBLN1/VIT/TYRO3/ATP1B2/ACER2/FERMT2/BST1/FAM107A/MIR29C/ITGB1BP1/CCL28/HOXA7/LYVE1/FREM1/PLPP3/VTN/CCDC80/RRAS/CORO2B/FUT1/RADIL/DLC1/CD34/KANK1/HOXD3/SVEP1/ARHGAP6",49
"GO:0050918","positive chemotaxis","15/1430","59/16154",0.254237288135593,2.8719924143653,4.48917267500845,0.000141689902224536,0.00303353711370593,0.00303353711370593,"LGALS3/BMP4/HGF/FGF10/F3/VEGFD/CXCL12/FGF2/CCL2/CCL16/NTRK3/VEGFB/S1PR1/VEGFC/IL16",15
"GO:0015909","long-chain fatty acid transport","14/1430","53/16154",0.264150943396226,2.98398205568017,4.50848844038268,0.000150939133796527,0.00319879972588685,0.00319879972588685,"CD36/FABP4/ACSL5/PLA2G2A/DRD2/NMB/SLC25A20/PLA2G5/IRS2/PPARG/THRSP/SPX/ABCD2/ACSL1",14
"GO:0141060","disruption of anatomical structure in another organism","19/1430","86/16154",0.22093023255814,2.49573914457635,4.334169429587,0.000150956138592751,0.00319879972588685,0.00319879972588685,"LGALS3/TAC1/C6/PLA2G2A/CCL19/CCL21/DEFB132/CXCL12/CXCL14/CXCL2/CCL8/NKG7/GNLY/C7/ELANE/CCL28/CCL13/CTSG/GZMH",19
"GO:0015908","fatty acid transport","20/1430","93/16154",0.21505376344086,2.42935559064591,4.30801472209142,0.000151383526122217,0.00319879972588685,0.00319879972588685,"CD36/FABP4/ACSL5/PLA2G2A/DRD2/CYP4A11/LEP/PMP2/RBP7/NMB/SLC25A20/PLA2G5/IRS2/SLCO3A1/SLCO4A1/PPARG/THRSP/SPX/ABCD2/ACSL1",20
"GO:0042310","vasoconstriction","16/1430","66/16154",0.242424242424242,2.73854630218267,4.41051101931919,0.000157582955226253,0.00330109121723961,0.00330109121723961,"ITGA9/AGTR1/CAV1/ADRA1A/ADRA2B/PER2/LEP/TACR1/AVPR1A/ADRA2C/EDNRB/ADRA1D/AVPR2/ADRA2A/EDN3/SVEP1",16
"GO:1990874","vascular associated smooth muscle cell proliferation","16/1430","66/16154",0.242424242424242,2.73854630218267,4.41051101931919,0.000157582955226253,0.00330109121723961,0.00330109121723961,"BMP4/MIR27B/JUN/CNN1/FGF2/CDKN1A/ADAMTS1/PPARG/MIR214/GPER1/RGCC/MIR27A/MYOCD/ADIPOQ/IGF1/NR4A3",16
"GO:0050806","positive regulation of synaptic transmission","25/1430","130/16154",0.192307692307692,2.17240451855836,4.18259103714993,0.000163995873840265,0.00342068646722613,0.00342068646722613,"TAC1/CRHR2/ADRA1A/RELN/DRD2/TACR1/NTRK2/NLGN1/S100B/SHANK3/C22orf39/GRIA1/CCL2/LGI1/CLSTN2/NSG1/DRD1/SLC7A10/FAM107A/CYP46A1/GPER1/VAMP2/GRIN2B/ARC/NRXN1",25
"GO:0086010","membrane depolarization during action potential","10/1430","30/16154",0.333333333333333,3.76550116550117,4.7247603965859,0.000164874127610252,0.00342430880421292,0.00342430880421292,"CAV3/ATP1A2/SCN3A/SCN11A/SCN2B/SCN9A/SCN3B/SCN4B/ANK2/SCN5A",10
"GO:0010812","negative regulation of cell-substrate adhesion","15/1430","60/16154",0.25,2.82412587412587,4.41143760692425,0.000173650706311991,0.00359124439436714,0.00359124439436714,"APOD/DMTN/FZD4/MYOC/ACVRL1/FBLN1/ACER2/FAM107A/MIR29C/ITGB1BP1/HOXA7/CORO2B/DLC1/KANK1/ARHGAP6",15
